MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
383,Borough,1,Winter 2015-16,0,0.33,,,0.3,
383,Borough,1,Winter 2014-15,0,1.11,,,1.1,
383,Borough,1,Winter 2013-14,0,2.08,,,2.1,
383,Borough,1,Winter 2012-13,0,2.16,,,2.2,
383,Borough,1,Winter 2011-12,0,3.43,,,3.4,
383,Borough,1,Winter 2010-11,0,5.44,,,5.4,
383,Borough,1,Winter 2009-10,0,4.28,,,4.3,
383,Borough,1,Winter 2008-09,0,6.62,,,6.6,
383,Borough,2,Winter 2015-16,0,0.19,,,0.2,
383,Borough,2,Winter 2014-15,0,0.47,,,0.5,
383,Borough,2,Winter 2013-14,0,1.08,,,1.1,
383,Borough,2,Winter 2012-13,0,0.9,,,0.9,
383,Borough,2,Winter 2011-12,0,1.55,,,1.6,
383,Borough,2,Winter 2010-11,0,3.26,,,3.3,
383,Borough,2,Winter 2009-10,0,2.66,,,2.7,
383,Borough,2,Winter 2008-09,0,3.92,,,3.9,
383,Borough,3,Winter 2015-16,0,0.38,,,0.4,
383,Borough,3,Winter 2014-15,0,1.19,,,1.2,
383,Borough,3,Winter 2013-14,0,2.9,,,2.9,
383,Borough,3,Winter 2012-13,0,3.08,,,3.1,
383,Borough,3,Winter 2011-12,0,4.81,,,4.8,
383,Borough,3,Winter 2010-11,0,7.79,,,7.8,
383,Borough,3,Winter 2009-10,0,6.19,,,6.2,
383,Borough,3,Winter 2008-09,0,9.17,,,9.2,
383,Borough,4,Winter 2015-16,0,0.25,,,0.2,
383,Borough,4,Winter 2014-15,0,0.56,,,0.6,
383,Borough,4,Winter 2013-14,0,1.46,,,1.5,
383,Borough,4,Winter 2012-13,0,1.01,,,1.0,
383,Borough,4,Winter 2011-12,0,1.72,,,1.7,
383,Borough,4,Winter 2010-11,0,3.42,,,3.4,
383,Borough,4,Winter 2009-10,0,2.82,,,2.8,
383,Borough,4,Winter 2008-09,0,3.99,,,4.0,
383,Borough,5,Winter 2015-16,0,0.12,,,0.1,
383,Borough,5,Winter 2014-15,0,0.27,,,0.3,
383,Borough,5,Winter 2013-14,0,0.83,,,0.8,
383,Borough,5,Winter 2012-13,0,0.43,,,0.4,
383,Borough,5,Winter 2011-12,0,0.81,,,0.8,
383,Borough,5,Winter 2010-11,0,1.78,,,1.8,
383,Borough,5,Winter 2009-10,0,1.17,,,1.2,
383,Borough,5,Winter 2008-09,0,2.13,,,2.1,
383,UHF42,101,Winter 2015-16,0,0.3,,,0.3,
383,UHF42,101,Winter 2014-15,0,1.0,,,1.0,
383,UHF42,101,Winter 2013-14,1,1.71,,,1.7,
383,UHF42,101,Winter 2012-13,1,2.23,,,2.2,
383,UHF42,101,Winter 2011-12,1,3.71,,,3.7,
383,UHF42,101,Winter 2010-11,1,5.31,,,5.3,
383,UHF42,101,Winter 2009-10,1,4.16,,,4.2,
383,UHF42,101,Winter 2008-09,1,6.62,,,6.6,
383,UHF42,102,Winter 2015-16,0,0.29,,,0.3,
383,UHF42,102,Winter 2014-15,0,1.11,,,1.1,
383,UHF42,102,Winter 2013-14,1,1.61,,,1.6,
383,UHF42,102,Winter 2012-13,1,1.53,,,1.5,
